,station,prediction_time,prediction_window,number_of_bikes_left,number_of_bikes_returned,net_difference
446,6,2022-08-28 16:45:00,15,3,2,-1
447,6,2022-08-28 17:00:00,15,2,1,-1
448,6,2022-08-28 17:15:00,15,0,3,3
449,6,2022-08-28 17:30:00,15,2,2,0
450,6,2022-08-28 17:45:00,15,2,0,-2
451,6,2022-08-28 18:00:00,15,1,1,0
452,6,2022-08-28 18:15:00,15,2,2,0
453,6,2022-08-28 18:30:00,15,1,1,0
454,6,2022-08-28 18:45:00,15,1,1,0
455,6,2022-08-28 19:00:00,15,3,7,4
456,6,2022-08-28 19:15:00,15,3,8,5
457,6,2022-08-28 19:30:00,15,2,2,0
458,6,2022-08-28 19:45:00,15,1,3,2
459,6,2022-08-28 20:00:00,15,2,4,2
460,6,2022-08-28 20:15:00,15,4,2,-2
461,6,2022-08-28 20:30:00,15,3,3,0
462,6,2022-08-28 20:45:00,15,5,3,-2
463,6,2022-08-28 21:00:00,15,3,1,-2
464,6,2022-08-28 21:15:00,15,2,2,0
465,6,2022-08-28 21:30:00,15,1,1,0
466,6,2022-08-28 21:45:00,15,3,9,6
467,6,2022-08-28 22:00:00,15,10,4,-6
468,6,2022-08-28 22:15:00,15,1,2,1
469,6,2022-08-28 22:30:00,15,6,1,-5
470,6,2022-08-28 22:45:00,15,0,2,2
471,6,2022-08-28 23:00:00,15,4,2,-2
472,6,2022-08-28 23:15:00,15,4,4,0
473,6,2022-08-28 23:30:00,15,2,3,1
474,6,2022-08-28 23:45:00,15,3,0,-3
475,7,2022-08-28 00:15:00,15,1,2,1
476,7,2022-08-28 00:30:00,15,0,1,1
477,7,2022-08-28 00:45:00,15,0,2,2
478,7,2022-08-28 01:00:00,15,2,0,-2
479,7,2022-08-28 01:15:00,15,1,0,-1
480,7,2022-08-28 01:30:00,15,3,1,-2
481,7,2022-08-28 01:45:00,15,3,0,-3
482,7,2022-08-28 02:00:00,15,0,0,0
483,7,2022-08-28 02:15:00,15,1,1,0
484,7,2022-08-28 02:30:00,15,1,0,-1
485,7,2022-08-28 02:45:00,15,0,0,0
486,7,2022-08-28 03:00:00,15,0,0,0
487,7,2022-08-28 03:15:00,15,0,0,0
488,7,2022-08-28 03:30:00,15,0,0,0
489,7,2022-08-28 03:45:00,15,0,0,0
490,7,2022-08-28 04:00:00,15,0,0,0
491,7,2022-08-28 04:15:00,15,1,0,-1
492,7,2022-08-28 04:30:00,15,0,0,0
493,7,2022-08-28 04:45:00,15,0,0,0
494,7,2022-08-28 05:00:00,15,0,0,0
495,7,2022-08-28 05:15:00,15,0,0,0
496,7,2022-08-28 05:30:00,15,0,0,0
497,7,2022-08-28 05:45:00,15,0,0,0
498,7,2022-08-28 06:00:00,15,0,0,0
499,7,2022-08-28 06:15:00,15,0,0,0
500,7,2022-08-28 06:30:00,15,0,0,0
501,7,2022-08-28 06:45:00,15,0,0,0
502,7,2022-08-28 07:00:00,15,0,0,0
503,7,2022-08-28 07:15:00,15,0,0,0
504,7,2022-08-28 07:30:00,15,0,0,0
505,7,2022-08-28 07:45:00,15,0,0,0
506,7,2022-08-28 08:00:00,15,0,0,0
507,7,2022-08-28 08:15:00,15,0,0,0
508,7,2022-08-28 08:30:00,15,0,0,0
509,7,2022-08-28 08:45:00,15,0,0,0
510,7,2022-08-28 09:00:00,15,0,0,0
511,7,2022-08-28 09:15:00,15,0,0,0
512,7,2022-08-28 09:30:00,15,0,0,0
513,7,2022-08-28 09:45:00,15,0,0,0
514,7,2022-08-28 10:00:00,15,0,0,0
515,7,2022-08-28 10:15:00,15,0,0,0
516,7,2022-08-28 10:30:00,15,0,0,0
517,7,2022-08-28 10:45:00,15,0,0,0
518,7,2022-08-28 11:00:00,15,0,0,0
519,7,2022-08-28 11:15:00,15,0,0,0
520,7,2022-08-28 11:30:00,15,0,0,0
521,7,2022-08-28 11:45:00,15,0,0,0
522,7,2022-08-28 12:00:00,15,0,0,0
523,7,2022-08-28 12:15:00,15,0,0,0
524,7,2022-08-28 12:30:00,15,0,0,0
525,7,2022-08-28 12:45:00,15,0,0,0
526,7,2022-08-28 13:00:00,15,0,0,0
527,7,2022-08-28 13:15:00,15,0,0,0
528,7,2022-08-28 13:30:00,15,0,0,0
